,LOAN_NUMBER,LOAN_ORIG_DATE,LENDER_INST_TYPE_DESCRIPTION,LTV,FICO_SCORE,CURRENT_BALANCE,Loan_to_Value_Cohorts,FICO_Score_Category,LOAN_AGE,Loan_Age_Cohorts
26,29473249,2012-07-13,Mortgage Banker - Bank Owned,95.0,665,146300,>90% and <= 95%,600 - 699,5.81531448284359,0-9 Months
27,16678081,2012-05-17,Mortgage Banker - (Large),95.0,665,152000,>90% and <= 95%,600 - 699,7.688042875623729,0-9 Months
28,28067291,2012-01-09,Bank Owned Mortgage Company - National,95.0,665,336286,>90% and <= 95%,600 - 699,11.926322922441939,10-19 Months
29,21677866,2011-11-23,Mortgage Banker - Bank Owned,84.0800018310547,666,140000,<=85%,600 - 699,13.470502474383457,10-19 Months
30,32244875,2012-10-30,Credit Unions,87.4400024414063,666,81000,>85% and <= 90%,600 - 699,2.234132117702622,0-9 Months
31,26513666,2012-12-07,Mortgage Banker - (Large),90.0,666,115200,>85% and <= 90%,600 - 699,0.9856465225158627,0-9 Months
32,30239657,2012-01-18,Credit Unions,89.3199996948242,667,326000,>85% and <= 90%,600 - 699,11.63062896568718,10-19 Months
33,33368396,2011-08-26,Mortgage Banker - (Large),95.0,667,171000,>90% and <= 95%,600 - 699,16.394587157847184,10-19 Months
34,23075425,2012-07-16,Mortgage Banker - Bank Owned,83.8000030517578,668,393840,<=85%,600 - 699,5.716749830592004,0-9 Months
35,19607742,2012-11-16,Mortgage Banker - Bank Owned,90.0,668,270000,>85% and <= 90%,600 - 699,1.6755990882769667,0-9 Months
36,30861864,2012-07-20,Bank Owned Mortgage Company - National,95.0,668,313500,>90% and <= 95%,600 - 699,5.585330294256556,0-9 Months
37,29013152,2012-03-08,Mortgage Banker - (Large),90.0,669,217800,>85% and <= 90%,600 - 699,9.987884761494076,0-9 Months
38,23511344,2012-01-20,Mortgage Banker - Bank Owned,93.3300018310547,671,112000,>90% and <= 95%,600 - 699,11.564919197519457,10-19 Months
39,17728290,2011-09-15,Bank Owned Mortgage Company - National,88.2900009155273,672,309000,>85% and <= 90%,600 - 699,15.737489476169943,10-19 Months
40,19559358,2011-07-22,Mortgage Banker - (Large),90.0,672,306000,>85% and <= 90%,600 - 699,17.544508100782355,10-19 Months
41,25434611,2011-08-31,Bank Owned Mortgage Company - National,90.0,673,121500,>85% and <= 90%,600 - 699,16.230312737427873,10-19 Months
42,29148626,2012-06-15,Community Banks,92.129997253418,673,164000,>90% and <= 95%,600 - 699,6.735251237191728,0-9 Months
43,32778521,2012-01-27,Community Banks,87.620002746582,674,65715,>85% and <= 90%,600 - 699,11.33493500893242,10-19 Months
44,21497871,2012-02-01,Community Banks,90.0,674,225000,>85% and <= 90%,600 - 699,11.170660588513112,10-19 Months
45,21227226,2012-11-02,Mortgage Banker - Bank Owned,90.0,675,228510,>85% and <= 90%,600 - 699,2.135567465451036,0-9 Months
46,29259155,2012-03-14,Credit Unions,95.0,675,185915,>90% and <= 95%,600 - 699,9.790755456990903,0-9 Months
47,22645536,2011-12-20,Community Banks,90.0,676,76500,>85% and <= 90%,600 - 699,12.583420604119182,10-19 Months
48,16532584,2012-07-13,Bank Owned Mortgage Company - National,90.0,676,391500,>85% and <= 90%,600 - 699,5.81531448284359,0-9 Months
49,22546470,2012-10-03,Mortgage Banker - Bank Owned,95.0,678,173375,>90% and <= 95%,600 - 699,3.1212139879668985,0-9 Months
50,24557130,2012-06-13,Mortgage Banker - Bank Owned,95.0,678,342000,>90% and <= 95%,600 - 699,6.800961005359453,0-9 Months
51,27401614,2011-10-24,Credit Unions,93.8399963378906,679,105100,>90% and <= 95%,600 - 699,14.456148996899321,10-19 Months
52,31348707,2012-01-31,Community Banks,94.0,679,235000,>90% and <= 95%,600 - 699,11.203515472596973,10-19 Months
53,15810620,2009-12-31,Community Banks,84.3899993896484,680,192400,<=85%,600 - 699,36.206082260416025,30-39 Months
54,19832534,2012-01-27,Mortgage Banker - Bank Owned,95.0,680,70300,>90% and <= 95%,600 - 699,11.33493500893242,10-19 Months
55,18855662,2010-04-12,Community Banks,95.0,681,242725,>90% and <= 95%,600 - 699,32.85488408386209,30-39 Months
56,29214085,2012-12-05,Bank Owned Mortgage Company - National,87.25,682,301000,>85% and <= 90%,600 - 699,1.051356290683587,0-9 Months
57,16188103,2012-07-27,Community Banks,90.0,682,130410,>85% and <= 90%,600 - 699,5.355346105669521,0-9 Months
58,26645569,2012-03-08,Mortgage Banker - Bank Owned,95.0,682,120650,>90% and <= 95%,600 - 699,9.987884761494076,0-9 Months
59,25493594,2011-11-28,Mortgage Banker - (Large),95.0,682,128250,>90% and <= 95%,600 - 699,13.306228053964148,10-19 Months
60,20021394,2012-06-18,Mortgage Banker - Bank Owned,95.0,682,164350,>90% and <= 95%,600 - 699,6.636686584940143,0-9 Months
61,18584479,2011-10-07,Mortgage Banker - Bank Owned,95.0,682,186695,>90% and <= 95%,600 - 699,15.014682026324977,10-19 Months
62,26173677,2011-01-14,Mortgage Banker - (Large),95.0,682,355036,>90% and <= 95%,600 - 699,23.75408119263229,20-29 Months
63,24581948,2012-11-07,Mortgage Banker - Bank Owned,84.9199981689453,683,267500,<=85%,600 - 699,1.9712930450317254,0-9 Months
64,18448764,2011-03-11,Community Banks,85.0,683,174250,<=85%,600 - 699,21.914207683936016,20-29 Months
65,32742979,2012-08-06,Mortgage Banker - Bank Owned,90.0,683,369000,>85% and <= 90%,600 - 699,5.0267972648309,0-9 Months
66,17057384,2010-08-25,Community Banks,95.0,683,275500,>90% and <= 95%,600 - 699,28.41947473254071,20-29 Months
67,30542329,2010-02-23,Mortgage Banker - (Large),95.0,683,345562,>90% and <= 95%,600 - 699,34.431918519887475,30-39 Months
68,16343290,2011-12-02,Mortgage Banker - (Large),95.0,683,380000,>90% and <= 95%,600 - 699,13.1748085176287,10-19 Months
69,15966880,2012-05-21,Mortgage Banker - Bank Owned,88.9100036621094,684,417000,>85% and <= 90%,600 - 699,7.556623339288281,0-9 Months
70,18882475,2007-11-13,Bank Owned Mortgage Company - National,90.0,684,324000,>85% and <= 90%,600 - 699,61.800036961744595,>=40 Months
71,32509554,2010-02-01,Credit Unions,94.5899963378906,684,35000,>90% and <= 95%,600 - 699,35.15472596973244,30-39 Months
72,14924510,2011-02-08,Credit Unions,94.8300018310547,684,110000,>90% and <= 95%,600 - 699,22.93270909053574,20-29 Months
73,26381848,2010-07-29,Credit Unions,85.6100006103516,685,91600,>85% and <= 90%,600 - 699,29.306556602804985,20-29 Months
74,23732899,2011-12-14,Community Banks,88.9199981689453,685,160950,>85% and <= 90%,600 - 699,12.780549908622353,10-19 Months
75,17484910,2012-08-01,Mortgage Banker - Bank Owned,90.0,685,132300,>85% and <= 90%,600 - 699,5.19107168525021,0-9 Months
76,21148547,2009-12-01,Mortgage Banker - (Large),94.4000015258789,685,417000,>90% and <= 95%,600 - 699,37.19172878293189,30-39 Months
77,23524767,2011-08-11,Mortgage Banker - (Large),95.0,685,274550,>90% and <= 95%,600 - 699,16.887410419105116,10-19 Months
78,31759620,2012-04-13,Credit Unions,97.0,685,145500,>95%,600 - 699,8.80510893447504,0-9 Months
79,27068884,2011-06-08,Mortgage Banker - Bank Owned,86.1100006103516,686,186000,>85% and <= 90%,600 - 699,18.990123000472288,10-19 Months
80,31265018,2012-08-01,Credit Unions,89.5999984741211,686,157700,>85% and <= 90%,600 - 699,5.19107168525021,0-9 Months
81,25678785,2011-12-15,Community Banks,90.0,686,65700,>85% and <= 90%,600 - 699,12.747695024538492,10-19 Months
82,23046621,2011-02-09,Bank Owned Mortgage Company - National,91.0,686,209500,>90% and <= 95%,600 - 699,22.899854206451877,20-29 Months
83,31683938,2012-07-30,Mortgage Banker - Bank Owned,82.9300003051758,687,170000,<=85%,600 - 699,5.2567814534179345,0-9 Months
84,16130738,2009-09-23,Credit Unions,90.0,687,81000,>85% and <= 90%,600 - 699,39.45871578471837,30-39 Months
85,21462822,2012-11-06,Mortgage Banker - Bank Owned,94.7399978637695,687,144000,>90% and <= 95%,600 - 699,2.0041479291155877,0-9 Months
86,17844269,2012-06-15,Mortgage Banker - Bank Owned,95.0,687,408500,>90% and <= 95%,600 - 699,6.735251237191728,0-9 Months
87,30401860,2011-07-28,Mortgage Banker - Bank Owned,97.0,687,164900,>95%,600 - 699,17.347378796279184,10-19 Months
88,33060850,2011-06-09,Community Banks,83.3300018310547,688,62500,<=85%,600 - 699,18.957268116388427,10-19 Months
89,22977589,2011-09-20,Bank Owned Mortgage Company - National,85.0,688,54825,<=85%,600 - 699,15.573215055750632,10-19 Months
90,26655369,2011-08-12,Bank Owned Mortgage Company - National,88.0100021362305,688,348500,>85% and <= 90%,600 - 699,16.85455553502125,10-19 Months
91,20112116,2011-04-07,Community Banks,90.0,688,363910,>85% and <= 90%,600 - 699,21.027125813671738,20-29 Months
92,32165534,2011-09-29,Community Banks,97.0,688,200790,>95%,600 - 699,15.277521098995873,10-19 Months
93,27232193,2012-02-13,Mortgage Banker - (Large),82.7300033569336,689,273000,<=85%,600 - 699,10.776401979506765,10-19 Months
94,30457549,2012-06-27,Bank Owned Mortgage Company - National,85.0,689,287300,<=85%,600 - 699,6.340992628185384,0-9 Months
95,17774085,2012-11-07,Community Banks,89.5800018310547,689,215000,>85% and <= 90%,600 - 699,1.9712930450317254,0-9 Months
96,18521487,2011-12-09,Community Banks,89.9300003051758,689,104499,>85% and <= 90%,600 - 699,12.944824329041664,10-19 Months
97,34104022,2012-08-28,Bank Owned Mortgage Company - National,90.0,689,85500,>85% and <= 90%,600 - 699,4.303989814985934,0-9 Months
98,33807337,2010-02-09,Mortgage Banker - Bank Owned,90.0,689,112500,>85% and <= 90%,600 - 699,34.89188689706154,30-39 Months
99,32599965,2012-09-20,Community Banks,94.5199966430664,689,345000,>90% and <= 95%,600 - 699,3.5483274810571057,0-9 Months
100,20025352,2010-12-03,Credit Unions,95.0,689,107825,>90% and <= 95%,600 - 699,25.1339863241545,20-29 Months
101,23541308,2012-09-07,Mortgage Banker - Bank Owned,95.0,689,360050,>90% and <= 95%,600 - 699,3.975440974147313,0-9 Months
102,34162295,2012-07-17,Mortgage Banker - Bank Owned,95.0,689,399000,>90% and <= 95%,600 - 699,5.683894946508142,0-9 Months
103,27284197,2012-06-12,Credit Unions,89.6399993896484,690,251000,>85% and <= 90%,600 - 699,6.833815889443315,0-9 Months
104,17689082,2012-12-21,Mortgage Banker - Bank Owned,91.2799987792969,690,314900,>90% and <= 95%,600 - 699,0.5256781453417935,0-9 Months
105,27461594,2012-07-19,Credit Unions,94.9800033569336,690,121100,>90% and <= 95%,600 - 699,5.6181851783404175,0-9 Months
106,27853913,2012-05-09,Community Banks,95.0,690,237500,>90% and <= 95%,600 - 699,7.950881948294626,0-9 Months
107,19524849,2010-06-25,Mortgage Banker - (Large),95.0,690,344375,>90% and <= 95%,600 - 699,30.423622661656296,30-39 Months
108,30887222,2009-05-29,Mortgage Banker - Bank Owned,85.0,691,93500,<=85%,600 - 699,43.30273722253024,>=40 Months
109,22905485,2011-06-17,Credit Unions,87.8000030517578,691,291500,>85% and <= 90%,600 - 699,18.69442904371753,10-19 Months
110,19118776,2012-04-27,Mortgage Banker - Bank Owned,90.0,691,175500,>85% and <= 90%,600 - 699,8.34514055730097,0-9 Months
111,15406240,2010-08-04,Mortgage Banker - Bank Owned,90.0,691,185400,>85% and <= 90%,600 - 699,29.109427298301814,20-29 Months
112,30493221,2011-02-28,Mortgage Banker - Bank Owned,90.0,691,326250,>85% and <= 90%,600 - 699,22.2756114088585,20-29 Months
113,28571283,2011-10-12,Mortgage Banker - (Large),95.0,691,105450,>90% and <= 95%,600 - 699,14.850407605905666,10-19 Months
114,19812465,2012-10-31,Community Banks,95.0,691,169290,>90% and <= 95%,600 - 699,2.20127723361876,0-9 Months
115,20260003,2012-08-13,Mortgage Banker - (Large),95.0,691,247000,>90% and <= 95%,600 - 699,4.796813076243866,0-9 Months
116,22372930,2012-08-22,Mortgage Banker - Bank Owned,87.0299987792969,692,174050,>85% and <= 90%,600 - 699,4.501119119489107,0-9 Months
117,19186901,2012-10-30,Mortgage Banker - Bank Owned,89.0800018310547,692,204000,>85% and <= 90%,600 - 699,2.234132117702622,0-9 Months
118,21038856,2011-04-22,Mortgage Banker - Bank Owned,89.9899978637695,692,145700,>85% and <= 90%,600 - 699,20.534302552413806,20-29 Months
119,18463201,2012-10-05,Mortgage Banker - Bank Owned,90.0,692,269100,>85% and <= 90%,600 - 699,3.0555042197991744,0-9 Months
120,28530578,2012-10-31,Mortgage Banker - Bank Owned,90.0,692,346500,>85% and <= 90%,600 - 699,2.20127723361876,0-9 Months
121,17436330,2011-08-05,Bank Owned Mortgage Company - National,94.9800033569336,692,190900,>90% and <= 95%,600 - 699,17.084539723608287,10-19 Months
122,30584570,2009-12-01,Credit Unions,95.0,692,42750,>90% and <= 95%,600 - 699,37.19172878293189,30-39 Months
123,22921951,2011-04-27,Credit Unions,95.0,692,123405,>90% and <= 95%,600 - 699,20.3700281319945,20-29 Months
124,26609942,2012-01-15,Credit Unions,95.0,692,136705,>90% and <= 95%,600 - 699,11.729193617938767,10-19 Months
125,17670133,2012-07-27,Mortgage Banker - Bank Owned,95.0,692,182400,>90% and <= 95%,600 - 699,5.355346105669521,0-9 Months
126,26620925,2011-10-17,Community Banks,95.0,692,301150,>90% and <= 95%,600 - 699,14.686133185486355,10-19 Months
127,32758011,2011-09-09,Credit Unions,96.9800033569336,692,118800,>95%,600 - 699,15.934618780673114,10-19 Months
128,23022689,2011-01-07,Community Banks,82.4800033569336,693,129500,<=85%,600 - 699,23.984065381219327,20-29 Months
129,33479081,2012-03-02,Mortgage Banker - Bank Owned,83.7600021362305,693,87950,<=85%,600 - 699,10.18501406599725,10-19 Months
130,20356225,2012-02-08,Mortgage Banker - Bank Owned,84.0,693,85675,<=85%,600 - 699,10.940676399926076,10-19 Months
131,33671681,2012-11-15,Credit Unions,84.620002746582,693,206550,<=85%,600 - 699,1.7084539723608287,0-9 Months
132,23163984,2012-06-28,Bank Owned Mortgage Company - National,85.0,693,53550,<=85%,600 - 699,6.308137744101521,0-9 Months
133,26577084,2010-12-07,Community Banks,85.0,693,141950,<=85%,600 - 699,25.002566787819053,20-29 Months
134,33350517,2012-10-03,Mortgage Banker - Bank Owned,90.0,693,198000,>85% and <= 90%,600 - 699,3.1212139879668985,0-9 Months
135,27627423,2011-08-01,Mortgage Banker - Bank Owned,95.0,693,161595,>90% and <= 95%,600 - 699,17.215959259943737,10-19 Months
136,30958692,2012-08-31,Mortgage Banker - Bank Owned,95.0,693,209000,>90% and <= 95%,600 - 699,4.205425162734348,0-9 Months
137,19790232,2012-06-14,Community Banks,90.0,694,72000,>85% and <= 90%,600 - 699,6.768106121275591,0-9 Months
138,16919981,2010-07-30,Mortgage Banker - Bank Owned,90.0,694,90000,>85% and <= 90%,600 - 699,29.273701718721124,20-29 Months
139,29600986,2011-04-05,Mortgage Banker - (Large),90.0,694,162000,>85% and <= 90%,600 - 699,21.092835581839463,20-29 Months
140,29342379,2010-12-17,Credit Unions,90.870002746582,694,114500,>90% and <= 95%,600 - 699,24.67401794698043,20-29 Months
141,30163324,2012-08-16,Bank Owned Mortgage Company - National,93.0,694,158000,>90% and <= 95%,600 - 699,4.698248423992279,0-9 Months
142,16447378,2011-01-18,Credit Unions,95.0,694,63175,>90% and <= 95%,600 - 699,23.622661656296845,20-29 Months
143,23442649,2011-10-14,Mortgage Banker - Bank Owned,95.0,694,289750,>90% and <= 95%,600 - 699,14.78469783773794,10-19 Months
144,30346912,2010-01-27,Mortgage Banker - Bank Owned,88.7200012207031,695,417000,>85% and <= 90%,600 - 699,35.31900039015175,30-39 Months
145,29428802,2012-07-18,Mortgage Banker - Bank Owned,92.9199981689453,695,210000,>90% and <= 95%,600 - 699,5.65104006242428,0-9 Months
146,14867621,2010-03-11,Credit Unions,95.0,695,55100,>90% and <= 95%,600 - 699,33.90624037454568,30-39 Months
147,30399629,,Mortgage Banker - (Large),95.0,695,404700,>90% and <= 95%,600 - 699,,Unknown
148,23715432,2012-10-22,Mortgage Banker - Bank Owned,87.0,696,261000,>85% and <= 90%,600 - 699,2.496971190373519,0-9 Months
149,30287693,2010-07-20,Credit Unions,90.0,696,180000,>85% and <= 90%,600 - 699,29.602250559559746,20-29 Months
150,15105990,2011-07-19,Mortgage Banker - Bank Owned,90.0,696,288000,>85% and <= 90%,600 - 699,17.643072753033945,10-19 Months
151,22983504,2011-11-10,Mortgage Banker - Bank Owned,95.0,696,80750,>90% and <= 95%,600 - 699,13.897615967473664,10-19 Months
152,28164778,2011-02-07,Mortgage Banker - Bank Owned,95.0,696,140443,>90% and <= 95%,600 - 699,22.965563974619602,20-29 Months
153,18172406,2011-04-20,Credit Unions,95.0,696,308750,>90% and <= 95%,600 - 699,20.60001232058153,20-29 Months
154,23140959,2010-06-04,Community Banks,90.0,697,220500,>85% and <= 90%,600 - 699,31.1135752274174,30-39 Months
155,33541051,2012-10-24,Mortgage Banker - (Large),89.7600021362305,698,184000,>85% and <= 90%,600 - 699,2.431261422205795,0-9 Months
156,27382378,2011-10-12,Mortgage Banker - Bank Owned,89.9700012207031,698,269000,>85% and <= 90%,600 - 699,14.850407605905666,10-19 Months
157,26269025,2011-03-30,Credit Unions,90.0,698,29700,>85% and <= 90%,600 - 699,21.289964886342634,20-29 Months
158,33232408,2011-02-23,Bank Owned Mortgage Company - National,90.0,698,193500,>85% and <= 90%,600 - 699,22.43988582927781,20-29 Months
159,20242575,2012-03-12,Bank Owned Mortgage Company - National,95.0,698,99750,>90% and <= 95%,600 - 699,9.856465225158628,0-9 Months
160,32304739,2010-07-01,Credit Unions,95.0,698,115900,>90% and <= 95%,600 - 699,30.226493357153124,30-39 Months
161,23377106,2010-07-02,Community Banks,95.0,698,186100,>90% and <= 95%,600 - 699,30.193638473069264,30-39 Months
162,21096682,2012-03-22,Bank Owned Mortgage Company - National,89.1900024414063,699,165000,>85% and <= 90%,600 - 699,9.527916384320006,0-9 Months
163,28475946,2011-02-15,Credit Unions,90.0,699,67500,>85% and <= 90%,600 - 699,22.702724901948706,20-29 Months
164,24121148,2012-09-13,Bank Owned Mortgage Company - National,90.0,699,234900,>85% and <= 90%,600 - 699,3.7783116696441406,0-9 Months
165,21865227,2011-11-15,Community Banks,82.1900024414063,700,300000,<=85%,700 - 799,13.733341547054355,10-19 Months
166,18883920,2012-03-23,Community Banks,90.0,700,144000,>85% and <= 90%,700 - 799,9.495061500236144,0-9 Months
167,28069017,,Mortgage Banker - (Large),94.8099975585938,700,365000,>90% and <= 95%,700 - 799,,Unknown
168,30838383,2011-10-31,Bank Owned Mortgage Company - National,95.0,700,99750,>90% and <= 95%,700 - 799,14.226164808312285,10-19 Months
169,15201273,2012-08-24,Mortgage Banker - Bank Owned,95.0,700,156750,>90% and <= 95%,700 - 799,4.435409351321383,0-9 Months
170,29519416,2010-12-03,Credit Unions,95.0,700,205200,>90% and <= 95%,700 - 799,25.1339863241545,20-29 Months
171,22592124,2010-06-04,Mortgage Banker - (Large),95.0,700,378100,>90% and <= 95%,700 - 799,31.1135752274174,30-39 Months
172,21186954,2012-06-05,Mortgage Banker - Bank Owned,97.0,700,363750,>95%,700 - 799,7.06380007803035,0-9 Months
173,22580100,2011-02-08,Bank Owned Mortgage Company - National,89.0,701,252276,>85% and <= 90%,700 - 799,22.93270909053574,20-29 Months
174,17794153,2011-08-19,Bank Owned Mortgage Company - National,89.9100036621094,701,432300,>85% and <= 90%,700 - 799,16.62457134643422,10-19 Months
175,25309133,2012-04-13,Mortgage Banker - Bank Owned,90.0,701,229500,>85% and <= 90%,700 - 799,8.80510893447504,0-9 Months
176,28223100,2011-05-19,Mortgage Banker - Bank Owned,90.0,701,414000,>85% and <= 90%,700 - 799,19.64722068214953,10-19 Months
177,30324572,2012-12-03,Mortgage Banker - Bank Owned,94.1699981689453,701,97000,>90% and <= 95%,700 - 799,1.117066058851311,0-9 Months
178,26488236,2011-11-08,Mortgage Banker - Bank Owned,95.0,701,380000,>90% and <= 95%,700 - 799,13.963325735641389,10-19 Months
179,32831114,2010-12-03,Community Banks,85.0,702,340824,<=85%,700 - 799,25.1339863241545,20-29 Months
180,27416590,2011-02-25,Community Banks,87.379997253418,702,138500,>85% and <= 90%,700 - 799,22.374176061110084,20-29 Months
181,33110212,2012-07-23,Mortgage Banker - Bank Owned,90.0,702,161550,>85% and <= 90%,700 - 799,5.486765642004969,0-9 Months
182,28613358,2011-12-20,Mortgage Banker - (Large),90.0,702,216000,>85% and <= 90%,700 - 799,12.583420604119182,10-19 Months
183,17498443,2012-04-20,Mortgage Banker - Bank Owned,95.0,702,125400,>90% and <= 95%,700 - 799,8.575124745888006,0-9 Months
184,15802294,2012-12-07,Mortgage Banker - Bank Owned,95.0,702,221350,>90% and <= 95%,700 - 799,0.9856465225158627,0-9 Months
185,26734139,2011-04-04,Community Banks,95.0,702,305197,>90% and <= 95%,700 - 799,21.125690465923324,20-29 Months
186,28559423,2012-03-22,Mortgage Banker - Bank Owned,90.0,703,189000,>85% and <= 90%,700 - 799,9.527916384320006,0-9 Months
187,27844100,2012-11-21,Mortgage Banker - Bank Owned,90.0,703,256500,>85% and <= 90%,700 - 799,1.5113246678576562,0-9 Months
188,22526913,2010-07-16,Community Banks,90.0,703,384993,>85% and <= 90%,700 - 799,29.733670095895192,20-29 Months
189,15767184,2012-04-05,Mortgage Banker - Bank Owned,95.0,703,40850,>90% and <= 95%,700 - 799,9.067948007145937,0-9 Months
190,34399343,2009-12-23,Mortgage Banker - Bank Owned,95.0,703,47500,>90% and <= 95%,700 - 799,36.468921333086925,30-39 Months
191,29116282,2010-02-25,Mortgage Banker - Bank Owned,95.0,703,190000,>90% and <= 95%,700 - 799,34.366208751719746,30-39 Months
192,19677141,2012-09-11,Bank Owned Mortgage Company - National,95.0,703,190950,>90% and <= 95%,700 - 799,3.8440214378118647,0-9 Months
193,28646249,2011-09-07,Mortgage Banker - (Large),95.0,703,357675,>90% and <= 95%,700 - 799,16.000328548840837,10-19 Months
194,21895015,2011-01-21,Community Banks,81.5199966430664,704,187500,<=85%,700 - 799,23.524097004045256,20-29 Months
195,24562133,2012-08-15,Mortgage Banker - Bank Owned,82.8399963378906,704,222000,<=85%,700 - 799,4.7311033080761415,0-9 Months
196,23607140,2010-12-30,Credit Unions,88.7200012207031,704,173000,>85% and <= 90%,700 - 799,24.246904453890224,20-29 Months
197,32400170,2011-04-16,Mortgage Banker - Bank Owned,93.6399993896484,704,165750,>90% and <= 95%,700 - 799,20.73143185691698,20-29 Months
198,28044423,2011-08-17,Bank Owned Mortgage Company - National,95.0,704,109250,>90% and <= 95%,700 - 799,16.69028111460194,10-19 Months
199,31158849,2011-10-14,Mortgage Banker - (Large),95.0,704,305900,>90% and <= 95%,700 - 799,14.78469783773794,10-19 Months
200,32977249,2011-11-29,Bank Owned Mortgage Company - National,97.0,704,302640,>95%,700 - 799,13.273373169880285,10-19 Months
201,18140312,2011-05-16,Bank Owned Mortgage Company - National,82.6699981689453,705,124000,<=85%,700 - 799,19.745785334401116,10-19 Months
202,21592855,2009-07-28,Credit Unions,89.0,705,178000,>85% and <= 90%,700 - 799,41.33144417749851,>=40 Months
203,34426315,2011-04-28,Mortgage Banker - (Large),89.6800003051758,705,417000,>85% and <= 90%,700 - 799,20.337173247910634,20-29 Months
204,19401077,2011-07-06,Mortgage Banker - Bank Owned,90.0,705,261000,>85% and <= 90%,700 - 799,18.070186246124152,10-19 Months
205,15075201,2011-05-13,Bank Owned Mortgage Company - National,90.0,705,265500,>85% and <= 90%,700 - 799,19.844349986652702,10-19 Months
206,34348669,2011-12-15,Mortgage Banker - (Large),90.0,705,279000,>85% and <= 90%,700 - 799,12.747695024538492,10-19 Months
207,17225944,2012-02-13,Credit Unions,95.0,705,76000,>90% and <= 95%,700 - 799,10.776401979506765,10-19 Months
208,21915796,2012-10-12,Community Banks,95.0,705,187625,>90% and <= 95%,700 - 799,2.82552003121214,0-9 Months
